"Module","EthicalRef","Score","Mode","Detail","Missing","Path"
"G11","True","88","heuristic","","","D:\CHECHA_CORE\DAO-GOGS\G11"
"G20","True","88","heuristic","","","D:\CHECHA_CORE\ARTIFACTS\2025\G20"
"G35","True","88","heuristic","","","D:\CHECHA_CORE\C12\Vault\DAO\G35"
"G43","True","88","heuristic","","","D:\CHECHA_CORE\C12\Vault\DAO\G43"
"G43","True","88","heuristic","","","D:\CHECHA_CORE\G43"
"G43 ITETA","True","88","heuristic","","","D:\CHECHA_CORE\C12\Vault\DAO\G43\G43 ITETA"
"G43 ITETA","True","88","heuristic","","","D:\CHECHA_CORE\G43\G43 ITETA"
"G43.1 Основні дослідження","True","88","heuristic","","","D:\CHECHA_CORE\G43\G43 ITETA\G43.1 Основні дослідження"
"G43.2 Інститут майбутнього","True","88","heuristic","","","D:\CHECHA_CORE\G43\G43 ITETA\G43.2 Інститут майбутнього"
"G46 Інформаційний щит Поділля","True","88","heuristic","","","D:\CHECHA_CORE\DAO-GOGS-MAIN\G-CATALOG\G\G46 Інформаційний щит Поділля"
"g46-1-podilsk-infohub","True","88","heuristic","","","D:\CHECHA_CORE\DAO-GOGS-MAIN\dao-g\g46-info-shield\g46-1-podilsk-infohub"
"g46-info-shield","True","88","heuristic","","","D:\CHECHA_CORE\DAO-GOGS-MAIN\dao-g\g46-info-shield"
"G46.1 Podilsk.InfoHub","True","88","heuristic","","","D:\CHECHA_CORE\DAO-GOGS-MAIN\G-CATALOG\G\G46 Інформаційний щит Поділля\G46.1 Podilsk.InfoHub"
"G46.1_Podilsk.InfoHub","True","88","heuristic","","","D:\CHECHA_CORE\DAO-GOGS-MAIN\releases\G46.1_Podilsk.InfoHub"
